source	target
10386941	6609
10386942	530
10386943	530
10386944	530
10386945	530
10386946	530
10386947	13646
10386948	530
10386949	530
10387070	3
10387087	3
10387262	530
10387278	23
10387280	530
10387471	530
10387485	530
10387694	530
10387698	3
10387938	91947
10388084	530
10388102	6571
10388285	6613
10388295	388295
10388298	530
10388299	530
10388493	388493
10388569	6687
10388775	9003
10388923	388923
10389118	530
10389316	1
10389387	22356
10389517	90557
10389730	6900
10389737	530
10389802	530
10389803	530
10389804	530
10389967	6571
10390007	530
10390009	13646
10390010	530
10390011	13845
10390231	390231
10390649	390649
10390655	49
10390656	49
10390660	6619
10391110	49
10391111	49
10391112	49
10391113	49
10391114	49
10391169	90557
10391812	530
10392037	530
10392116	392116
10392117	352769
10392507	530
10392520	530
10392570	213858
10392752	13646
10392758	530
10392813	392813
10392815	6571
10393045	530
10393046	530
10393049	530
10393050	393050
10393359	530
10393457	530
10393458	530
10394401	394401
10394409	530
10394415	530
10394456	530
10394468	530
10395109	14872
10395151	14387
10395152	530
10395153	530
10395154	530
10395155	530
10395156	530
10395247	395247
10395410	6571
10395599	604
10395653	530
10395657	530
10395811	530
10395865	13646
10395866	530
10395867	530
10395868	530
10395869	530
10395870	530
10395871	530
10395872	530
10395873	530
10395874	530
10395875	530
10395878	13646
10395879	13646
10396112	6613
10396123	6778
10396275	3
10396753	530
10397040	2
10397041	7814
10397221	530
10397232	93742
10397301	6571
10397455	3
10397464	164415
10397701	530
10397712	530
10397770	530
10397771	530
10397772	530
10397773	530
10397774	530
10397775	530
10397776	530
10397777	530
10397778	530
10397779	530
10397780	530
10397781	530
10397782	530
10397951	8712
10397952	14025
10397988	530
10397989	530
10397990	530
10398176	14355
10398655	398655
10398882	93982
10398890	530
10398906	530
10399139	530
10399140	530
10399142	6778
10399143	3
10399144	3
10399193	6609
10399194	399194
10399195	530
10399196	530
10399197	530
10399198	530
10399199	530
10399200	530
10399201	530
10399202	530
10399363	530
10399373	530
10399378	530
10399612	3
10399905	3
10400095	6783
10400107	6921
10400155	7814
10400335	8028
10400340	813
10400349	19127
10400892	513
10401064	401064
10401091	6546
10401271	14311
10401584	2
10401789	2
10401980	530
10402273	13292
10402682	530
10402692	530
10402739	13991
10402740	530
10402741	530
10402742	530
10402743	530
10402744	530
10402745	530
10402746	530
10402747	399194
10402748	530
10402749	530
10402750	530
10402751	530
10402752	530
10402753	530
10402914	530
10402919	13646
10403167	13991
10403212	6909
10403213	403213
10403214	163816
10403216	403216
10403385	530
10403400	6613
10403631	530
10403645	530
10403704	530
10403705	403705
10403872	530
10403876	530
10404032	121403
10404106	530
10404171	530
10404172	530
10404173	530
10404174	530
10404175	530
10404176	530
10404177	530
10404256	6533
10404263	6571
10404268	530
10404270	530
10404272	530
10404273	530
10404501	6533
10404741	14216
10404825	530
10405356	13646
10405763	530
10405836	405836
10406011	530
10406012	406012
10406072	530
10406234	23
10406275	219143
10406277	530
10406280	530
10406282	406282
10406452	406452
10406518	6613
10406685	6909
10406686	406686
10406697	220703
10406916	17234
10406926	3
10406929	530
10406972	3
10407152	6783
10407168	163816
10407383	6571
10407384	6718
10407386	530
10407390	6533
10407391	13646
10407394	9003
10407396	3
10407400	530
10407632	8017
10407639	7
10407674	530
10407675	530
10407676	530
10407677	530
10407678	530
10407679	530
10408088	9003
10408090	271237
10408165	530
10408166	530
10408167	530
10408168	530
10408169	530
10408324	3
10408564	530
10408765	6613
10408809	9003
10408820	530
10408864	93742
10409022	92184
10409039	13292
10409280	530
10409486	6900
10409492	530
10409509	530
10409957	8712
10409959	529
10409967	961
10409968	213858
10410020	13845
10410175	410175
10410176	14658
10410177	410177
10410178	530
10410179	530
10410180	530
10410236	530
10410438	3
10410675	23
10410680	530
10410903	6533
10411593	530
10411597	530
10411852	13845
10412083	530
10412342	530
10412556	530
10412558	530
10412559	530
10412786	7840
10413032	530
10413040	530
10413044	3
10413046	530
10413282	530
10413292	530
10413573	3111
10413980	530
10414431	530
10414443	483
10414911	414911
10415358	3
10415369	3
10416049	530
10416272	530
10416276	530
10416732	530
10416743	530
10416745	530
10417225	13845
10417354	530
10417355	530
10417356	530
10417366	417366
10417588	6571
10417593	406611
10417598	6687
10417601	530
10417602	9390
10417605	530
10417672	6533
10417680	530
10417809	530
10417810	93982
10417811	93982
10417812	0
10417814	3
10418373	6571
10418581	530
10418605	3
10418831	530
10419073	530
10419074	530
10419482	6542
10419566	530
10420012	530
10420020	530
10420034	530
10420718	3
10420947	530
10420948	530
10420949	6783
10426469	530
10426471	530
10426616	530
10426617	14387
10426632	161273
10426634	426634
10427530	530
10427770	427770
10427993	3
10427994	7464
10427995	164611
10429619	13646
10430090	23
10430801	430801
10431039	530
10431046	431046
10431502	530
10431507	530
10431714	530
10431717	221692
10431718	530
10431740	431740
10431952	530
10431953	6571
10431954	530
10432359	221570
10432360	8519
10432694	530
10432695	530
10432696	530
10432826	13369
10432909	530
10432910	530
10432911	530
10432912	530
10432913	530
10432914	530
10432915	530
10432916	530
10432917	530
10432918	530
10432919	530
10432921	6571
10432922	369058
10432923	530
10433075	6900
10433139	2
10433288	8712
10433307	6778
10433374	530
10433379	368891
10433389	3
10433767	433767
10434013	15260
10434099	6613
10434235	14720
10434473	434473
10434553	530
10434789	231824
10434792	292417
10434807	225460
10434808	530
10435104	22535
10435191	530
10435261	530
10435262	530
10435263	530
10435264	530
10435265	530
10435266	530
10435267	530
10435747	215747
10435814	435814
10435893	3
10435966	215747
10436421	436421
10436429	436429
10436430	436430
10436900	13646
10436901	197329
10437141	3
10437142	3
10437616	7825
10437619	530
10437702	164984
10437703	295213
10437933	530
10437991	437991
10438309	13646
10438311	530
10438400	530
10438401	530
10438938	6613
10438964	6533
10438965	14838
10439266	530
10439270	439270
10440153	530
10440154	440154
10440155	13292
10440604	162
10440697	530
10440707	6900
10440853	13292
10441074	3178
10441162	3
10441298	530
10441402	3523
10441531	3111
10441616	22535
10441789	441789
10442347	3
10442348	3
10442477	191684
10442584	530
10442585	530
10442586	530
10442587	530
10442588	530
10442589	530
10442590	530
10442591	530
10442592	530
10442593	530
10442594	530
10442726	226508
10442732	442732
10443066	530
10443189	8712
10443287	14720
10443316	116149
10443768	530
