id	name	type
15755216	Practica, et theorica de testibus : in qua de qualitate, numero, probatione, et reprobatione testium, deq. officio iudicis circa eosdem in causis ciuilibus, et capitalibus, absolutissime pertractatur : eaq́ue omnia traduntur, quae hac in materia, iusdicentibus simul & causarum patronis maximo in dies vsui sint futura	Edition
27202668	Typis Andreae ab Hoogenhuysen ...	Publisher
15629340	Synopsis Institutionum Imperialium : convenientiam & discrepantiam juris, quo in Imperio Romano Germanico hodiè utimur, per interjectas notas  succinctè exhibens : cui appendicis loco accessit Tit. de verborum significatione & Tit. de diversis regulis juris antiqui in locos communes dispositio	Edition
17202668	De criminibus ad lib. XLVII et XLVIII Dig. commentarius›De criminibus ad lib. XLVII et XLVIII Dig. commentarius Antonii Matthaei, jc. in illustri Academia Ultrajectina antecessoris : adjecta est brevis & succincta juris municipalis interpretatio, cum indice triplici, titulorum, rerum & verborum, nec non legum, qua strictius, qua fusius explicatarum	Edition
23494414	Apud Thomam Jonsonium	Publisher
15105970	Tractatus de servitiis feudalibus›Andreae Kohl, jc. Tractatus duo : quorum prior de servitiis feudalibus, in partes octo distributus, continens diligentem explanationem singulorum, ad quae dominis vasalli teneri solent, alter de subfeudis, quinque capitibus succinctè comprehensus	Edition
25592791	Sumptibus Samuelis Selfischii	Publisher
13534429	Prōtheōria universi juris feudalis, quâ liberior studiosis ad ingentia volumina aditus & perfectioribus etiam materiarum feudalium ansa aliqua struitur repetundarum	Edition
20874856	Apud A. Moetjens, bibliopolam	Publisher
25936295	Apud Adrianum Moetjens	Publisher
18254935	Hilkhot teshuvah›Tratado de penitencia	Edition
15633920	Synopsis Institutionum Imperialium : convenientiam et discrepantiam juris, q́uo in Imperio Romano-Germanico hodie utimur, per interjectas notas succinctè exhibens : cui appendicis loco accessit Tit. De verborum significatione & Tit. De diversis regulis juris antiquis in locos communes dispositio	Edition
27692749	Imprimebat Paulus Egenolphus, typogr. Acad.	Publisher
26906663	Typis Nicolai Hampelii ...	Publisher
17208164	In extremum Pandectarum titulum, qui est De diversis regulis juris antiqui, commentarius›Philippi Matthaei, j.u. doctoris ... In extremum Pandectarum titulum, qui est De diversis regulis juris antiqui, commentarius : cum summariis, rerumque ac verborum indice	Edition
25072768	Impensis Hieronym. Philippi Ritschelii, bibliopol.	Publisher
15636835	Tractatus tres›Herm. Vulteij, i.u.d. et in ill. Hessorum Academia Marburgensi antecessoris Tractatus tres	Edition
12494076	Parallelos de principes	Edition
946432	VVittebergae	Place
30583401	Francesco Giovanetti	Person
25078690	Impensis Tobiae Schrödteri, bibliop.	Publisher
33468654	Hieronymus Treutler	Person
21656421	A. Kallewier	Publisher
3586193	Giessae Hassorum	Place
12499614	Chronica de Cister, onde se contam as cousas principaes desta ordem, & muytas antiguidades do reyno de Portugal, primeyra parte	Edition
11975652	Academie de l'espée	Edition
11451387	De havenvinding›The hauen-finding art, or, The way to find any hauen or place at sea, by the latitude and variation : lately published in the Dutch, French, and Latine tongues, by commandement of the Right Honourable Count Mauritz of Nassau ... and now translated into English, for the common benefite of the seamen of England›Hauen-finding art›Way to find any hauen of place at sea, by the latitude and variation›Haven-finding art›Way to find any haven of place at sea, by the latitude and variation	Edition
22725096	J. Elsevier	Publisher
16696656	De feudis eorundemque iure libri duo›Hermanni Vulteii JC De feudis eorundemque jure libri duo : quibus accessit ejusdem autoris Exegesis feudalis	Edition
12502361	Historia da Academia real da historia portugueza	Edition
16696668	De feudis eorundemque iure libri duo›Hermanni Vulteii JC De feudis eorundemque jure libri duo	Edition
16697107	De feudis eorundemque iure libri duo›Hermanni Vulteji, JCti, De feudis eorundemque jure libri duo : quibus accessit ejusdem authoris Exegesis feudalis	Edition
16697113	De feudis eorundemque iure libri duo›Hermanni Vulteji JC De feudis eorundemq́ue jure libri duo : quibus accessit ejusdem autoris Exegesis feudalis	Edition
21416518	Chez Pierre vander Aa	Publisher
15649451	Descriptio methodica substitutionis directae & obliquae, centum positionibus illigata	Edition
21963548	S. van Esveldt	Publisher
21758953	Apud Ioannem Wechelum	Publisher
1758953	Francofurdi	Place
23781512	impensis Joh. Friderici Zeitleri	Publisher
13033904	Arbor feudalis repetitae praelectionis›Petri Eliae Schroteri, j.u.d. Arbor feudalis repetitae praelectionis : in surculos decem distincta	Edition
33744891	Andreas von Kohl	Person
2550314	Oppenheym	Place
21426411	typis, et expensis academicis	Publisher
21164298	Apud Galeotum à Prato, ad primam columnam regij palatij	Publisher
27720642	Excudebat Michael Manescal, Sancti Officii typographus	Publisher
23266117	Ex officina Io. Baptistae Somaschi	Publisher
12780398	Tractatus posthumus de jure monetarum›Johannis Kitzelii, jcti. & procancellarii quondam Academiae Giessenae ... Tractatus posthumus de jure monetarum : in quo universum monetae jus controversiis accurate distinctum, ad praxin hodiernam summo studio & labore adcommodatum, atque juxta normam juris Caesarei, Pontificii & pragmaticarum Imperii Romani sanctionum decisum exhibetur : nunc primum in lucem editus et notaminum quorundam utcunque tornatus interiectu	Edition
10946432	Almagestum›Ptolemaei mathematicæ constructionis liber primus græce & latine editus	Edition
23033904	Ex officina Rodolphi Hutvvelckeri	Publisher
25629340	Apud Johannem Clementem & Fridericum Bergeros	Publisher
20000260	Elsevier	Publisher
25105970	Ex officina typographica Laurentij Seuberlichij	Publisher
14620827	Works›Francisci Zoannetti, iurisconsulti et antecessoris olim in celeberrima Academia Ingolstadiensi praestantissimi Opera quae extant omnia	Edition
23534429	Typis Salomonis Schadewitzii	Publisher
37166312	Andreas Scheps	Person
15932738	Practica et theorica de testibus›D. Hortensii Cavalcani Fivizanensis, J.C. celeberrimi, Practica et theorica de testibus : in qua de qualitate, numero, probatione et reprobatione testium, deq́ue officio judicis circa eosdem in causis civilibus & capitalibus absolutissimè pertractatur, eaq́ue omnia traduntur, quae hac in materia jus dicentibus simul & causarum patronis maximo in dies usui sint futura : cum rerum magis notabilium indice locupletissimo›Practica et theorica de testibus	Edition
25636835	Typis Martini Henckelij, impensis Samuelis Seelfischij	Publisher
12001410	Morvillerius›Hermanni Kirchneri J.U. Doctoris Morvillerius : de officio et dignitate cancellarii : libris quatuor expositus›De officio et dignitate cancellarii	Edition
25489245	Sumptibus Philippi Franci, bibliopolae	Publisher
25633920	Sumtibus haeredum Samuelis Selfischii	Publisher
27166312	Excudebat Paulus Egenolphus	Publisher
10954706	Origines typographicae›Uitvinding der boekdrukkunst	Edition
10954708	Origines typographicae	Edition
